DATE,BAMLHY,ln_BAMLHY,lnr_BAMLHY
7/15/1997,9.02,2.199444334,-0.004424786
7/16/1997,8.98,2.194999882,-0.004444452
7/17/1997,8.98,2.194999882,0
7/18/1997,8.99,2.196112848,0.001112966
7/21/1997,9,2.197224577,0.001111729
7/22/1997,8.95,2.191653532,-0.005571045
7/23/1997,8.92,2.188295947,-0.003357586
7/24/1997,8.92,2.188295947,0
7/25/1997,8.92,2.188295947,0
7/28/1997,8.89,2.18492705,-0.003368897
7/29/1997,8.88,2.183801557,-0.001125493
7/30/1997,8.85,2.180417459,-0.003384098
7/31/1997,8.82,2.17702187,-0.003395589
8/1/1997,8.85,2.180417459,0.003395589
8/4/1997,8.86,2.181546765,0.001129306
8/5/1997,8.86,2.181546765,0
8/6/1997,8.85,2.180417459,-0.001129306
8/7/1997,8.85,2.180417459,0
8/8/1997,8.93,2.189416395,0.008998936
8/11/1997,8.93,2.189416395,0
8/12/1997,8.97,2.193885676,0.004469281
8/13/1997,8.96,2.192770227,-0.001115449
8/14/1997,8.93,2.189416395,-0.003353832
8/15/1997,8.91,2.187174241,-0.002242153
8/18/1997,8.91,2.187174241,0
8/19/1997,8.9,2.186051277,-0.001122965
8/20/1997,8.91,2.187174241,0.001122965
8/21/1997,8.93,2.189416395,0.002242153
8/22/1997,8.95,2.191653532,0.002237137
8/25/1997,8.96,2.192770227,0.001116695
8/26/1997,8.96,2.192770227,0
8/27/1997,8.97,2.193885676,0.001115449
8/28/1997,8.95,2.191653532,-0.002232144
8/29/1997,8.96,2.192770227,0.001116695
8/31/1997,9.04,2.201659174,0.008888947
9/2/1997,9.01,2.198335072,-0.003324103
9/3/1997,9.01,2.198335072,0
9/4/1997,9.02,2.199444334,0.001109262
9/5/1997,9.03,2.200552367,0.001108033
9/8/1997,9.01,2.198335072,-0.002217296
9/9/1997,9.01,2.198335072,0
9/10/1997,9,2.197224577,-0.001110494
9/11/1997,9.01,2.198335072,0.001110494
9/12/1997,8.98,2.194999882,-0.003335189
9/15/1997,8.96,2.192770227,-0.002229655
9/16/1997,8.88,2.183801557,-0.00896867
9/17/1997,8.83,2.178155015,-0.005646542
9/18/1997,8.79,2.173614712,-0.004540303
9/19/1997,8.77,2.171336806,-0.002277905
9/22/1997,8.78,2.172476408,0.001139601
9/23/1997,8.77,2.171336806,-0.001139601
9/24/1997,8.76,2.170195905,-0.001140901
9/25/1997,8.78,2.172476408,0.002280503
9/26/1997,8.76,2.170195905,-0.002280503
9/29/1997,8.77,2.171336806,0.001140901
9/30/1997,8.82,2.17702187,0.005685064
10/1/1997,8.77,2.171336806,-0.005685064
10/2/1997,8.75,2.1690537,-0.002283106
10/3/1997,8.72,2.165619238,-0.003434462
10/6/1997,8.69,2.162172939,-0.003446299
10/7/1997,8.67,2.159868791,-0.002304148
10/8/1997,8.67,2.159868791,0
10/9/1997,8.71,2.164471791,0.004603
10/10/1997,8.71,2.164471791,0
10/13/1997,8.74,2.16791019,0.003438399
10/14/1997,8.71,2.164471791,-0.003438399
10/15/1997,8.69,2.162172939,-0.002298852
10/16/1997,8.69,2.162172939,0
10/17/1997,8.72,2.165619238,0.003446299
10/20/1997,8.72,2.165619238,0
10/21/1997,8.72,2.165619238,0
10/22/1997,8.72,2.165619238,0
10/23/1997,8.71,2.164471791,-0.001147447
10/24/1997,8.71,2.164471791,0
10/27/1997,8.79,2.173614712,0.009142921
10/28/1997,8.94,2.190535589,0.016920877
10/29/1997,8.87,2.182674796,-0.007860793
10/30/1997,8.87,2.182674796,0
10/31/1997,8.97,2.193885676,0.01121088
